Price,Close,High,Low,Open,Volume
Ticker,TITAN.NS,TITAN.NS,TITAN.NS,TITAN.NS,TITAN.NS
Date,,,,,
2005-01-03,8.53628158569336,8.673912572681083,7.984410879594241,8.202738759739054,9096180
2005-01-04,8.422857284545898,8.658668178020726,8.368163522677236,8.59500885648174,2775820
2005-01-05,7.975441932678223,8.479791101453802,7.7445615095148295,8.132798798088796,4159600
2005-01-06,7.866503715515137,8.198253339689055,7.6374163684273695,7.938681381941719,3843600
2005-01-07,8.039105415344238,8.150286937943397,7.862023376185101,7.896991206625404,2326460
2005-01-10,8.11755657196045,8.451099277052524,8.0278941499066,8.17404343610889,2780320
2005-01-11,7.947197914123535,8.158800471653676,7.8382584763287255,8.115314309360361,1804440
2005-01-12,7.502473831176758,8.049860203509999,7.355876500146687,7.962439823817797,2924920
2005-01-13,7.762047290802002,8.508036587137754,7.654901797381369,8.508036587137754,3040920
2005-01-14,7.168484687805176,7.831535948675634,7.024576974940329,7.785808599854515,3863360
2005-01-17,7.24245548248291,7.417296280853115,6.80624918736872,7.362602523340334,2942680
2005-01-18,7.177001953125,7.4325387589327185,7.111548244481826,7.367085477831684,1729860
2005-01-19,7.194486618041992,7.314633667417749,7.155483654792831,7.198969825380149,866460
2005-01-20,7.238420009613037,7.321357197996426,7.024575832966743,7.220936101590034,1238600
2005-01-24,7.292666912078857,7.3693277946732785,7.111549345521899,7.242456355533684,1043380
2005-01-25,7.1707258224487305,7.279665706455761,7.026818118998726,7.177002569126022,1008940
2005-01-27,7.351844310760498,7.521753868284425,7.172968337594307,7.172968337594307,1404600
2005-01-28,7.55044412612915,7.602448644203994,7.31239207223122,7.4477818477809,1404660
2005-01-31,7.790290832519531,7.846777701362316,7.554479104666249,7.68986887727028,1970040
2005-02-01,7.763842582702637,7.984410781632279,7.526237679635842,7.984410781632279,3088620
2005-02-02,7.578689098358154,7.958408135963001,7.5482036294957,7.775048968733908,1928540
2005-02-03,8.027894020080566,8.115314409872992,7.6571414756878005,7.679108589168056,4015620
2005-02-04,7.931956768035889,8.185251544505498,7.881745363855672,8.071828889791089,2694440
2005-02-07,7.857983589172363,7.997408474386376,7.768321179088766,7.984406920424626,1610660
2005-02-08,8.183011054992676,8.24173995864174,7.818534769141967,7.962442045699473,3152300
2005-02-09,9.821136474609375,9.821136474609375,8.071828972867445,8.224254588549698,29963860
2005-02-10,9.035699844360352,10.449671080865768,8.916000833265668,9.904076686323055,39562560
2005-02-11,9.722956657409668,10.117918385919255,8.944241645409315,8.944241645409315,40869520
2005-02-14,9.720717430114746,10.076675414670868,9.555290222808722,9.790653934037215,19125640
2005-02-15,9.334718704223633,9.790650437212303,9.232055588951745,9.790650437212303,8503280
2005-02-16,9.762412071228027,10.163650298914181,9.380451727777986,9.400177676389335,26739740
2005-02-17,9.751201629638672,9.987013395046379,9.622537074561732,9.8081374268062,13491200
2005-02-18,9.888833999633789,10.074434362096646,9.77316928686853,9.814862351176316,10755440
2005-02-21,9.454869270324707,10.02646503256743,9.389415973128838,10.02646503256743,4067920
2005-02-22,9.310958862304688,9.60729259520497,9.120875336872167,9.489834798069987,7158540
2005-02-23,9.454869270324707,9.729683163659253,9.249542962799023,9.371932060608732,7153740
2005-02-24,9.524356842041016,9.729682275744553,9.472352318413618,9.541840752965568,5470420
2005-02-25,9.223538398742676,9.685746507560633,9.199330107847544,9.620741290845233,4760300
2005-02-28,9.053183555603027,9.46787048145526,8.957244781118282,9.46787048145526,4455240
2005-03-01,9.397933006286621,9.644504301918007,8.813336568320038,9.031663569630803,9644740
2005-03-02,9.422141075134277,9.585774291264462,9.347721374215917,9.424382251208677,2833600
2005-03-03,9.483110427856445,9.581290350013036,9.424381529211107,9.463384488558678,2204820
2005-03-04,9.410934448242188,9.568291361375667,9.336962803947385,9.568291361375667,2080760
2005-03-07,9.939044952392578,10.316522012308335,9.336963697548716,9.487596241102505,20617400
2005-03-08,9.838621139526367,10.183372340618243,9.749407623254351,10.056948973444854,6174960
2005-03-09,9.633747100830078,9.921562609113291,9.476390147738902,9.921562609113291,3599440
2005-03-10,10.438461303710938,10.785453687471097,9.59877528941961,9.921559379476152,31656180
2005-03-11,11.092994689941406,11.640830171247991,10.034982499932694,10.510639450908114,66783940
2005-03-14,11.121236801147461,12.029066132074531,11.038299608635745,11.125720008186514,40943780
2005-03-15,10.763484954833984,11.474953525786281,10.702514027800971,11.125719163201435,24269680
2005-03-16,10.83790397644043,11.165171230336986,10.702514210140572,10.86390623370138,17348920
