Price,Close,High,Low,Open,Volume
Ticker,ULTRACEMCO.NS,ULTRACEMCO.NS,ULTRACEMCO.NS,ULTRACEMCO.NS,ULTRACEMCO.NS
Date,,,,,
2005-01-03,307.68463134765625,316.6472087583781,304.81843371855365,313.0075856692014,73470
2005-01-04,312.188720703125,327.4751287579609,308.9130539004817,312.0067284153742,240543
2005-01-05,303.4535217285156,323.0164923946718,294.6729381226779,313.9174362708782,230742
2005-01-06,307.775634765625,311.1422973100732,296.62928879111234,306.63825252332776,121746
2005-01-07,303.5899963378906,318.46695837563243,301.6791890340138,318.46695837563243,76718
2005-01-10,309.094970703125,319.7408505016944,304.0904894615079,308.3670294980192,238665
2005-01-11,295.4009094238281,312.0976862383063,289.8049943641416,312.0976862383063,161462
2005-01-12,291.2608337402344,304.77293957055673,289.4410222551571,295.71936632504963,79473
2005-01-13,289.9869384765625,300.2688610978169,287.5756663168899,300.2688610978169,157844
2005-01-14,298.5855407714844,302.99858883516964,291.1698150968597,298.4490604742812,453968
2005-01-17,295.4918518066406,307.2751407611418,293.53556026593196,299.8139035266762,426020
2005-01-18,294.4000244140625,299.3135381810721,291.7613030228198,297.53921067986056,109156
2005-01-19,294.3544921875,298.4035836355026,292.58016497587676,298.4035836355026,71306
2005-01-20,303.4080810546875,308.3215665123582,295.7193664205065,295.7193664205065,448669
2005-01-24,298.9040222167969,309.1859455115277,293.94502504841853,304.8184092621825,215699
2005-01-25,292.4891662597656,303.90847043378915,273.1081603167417,300.26884803338453,158479
2005-01-27,295.76483154296875,298.44906441861497,280.2509507345531,284.80047915556855,222826
2005-01-28,319.831787109375,328.47588946368245,295.71929106841213,296.17424382390203,569873
2005-01-31,312.7801513671875,322.47064359410246,309.7319610656933,319.8319220525568,140961
2005-02-01,328.7033996582031,333.8443607705146,306.95666126212086,313.91743358361265,269465
2005-02-02,320.2413330078125,329.61335092621,317.01115100315064,327.56606303225834,157466
2005-02-03,345.17279052734375,347.58403548164154,324.24495593028155,327.02015767177323,399811
2005-02-04,348.2664489746094,356.59208158719713,340.30477313260326,348.4939254272381,225957
2005-02-07,338.98541259765625,354.8632807540279,336.6651637922829,351.13266122324563,104917
2005-02-08,338.21197509765625,348.49389886555406,318.5580055349045,318.5580055349045,141700
2005-02-09,337.3021240234375,348.31196306139543,336.6651787941449,341.214708237309,196371
2005-02-10,340.395751953125,348.0389548190567,339.03089330677574,340.94170096528876,87114
2005-02-11,339.3493957519531,345.76422084726516,335.75525655958114,345.4002640631557,68198
2005-02-14,341.0782165527344,354.86328475297535,338.484979302838,345.673230030107,173535
2005-02-15,343.3984680175781,345.7642288210309,335.7552643025274,341.2146994944384,162469
2005-02-16,338.2574462890625,346.76507019588786,336.6651113031691,345.4912077607969,122367
2005-02-17,334.89080810546875,338.48494701027226,328.93093640917584,336.8016157793121,120041
2005-02-18,334.2994689941406,340.25937013593176,331.2057940538566,337.5751362472,145325
2005-02-21,327.15655517578125,337.84794623078216,304.1814382278006,304.1814382278006,38600
2005-02-22,327.4750671386719,332.98001347386514,322.5615817433143,327.566063265425,97456
2005-02-23,330.15924072265625,335.7551544091865,325.0182798198783,327.56600430164536,65031
2005-02-24,328.9308776855469,334.79977997141486,328.4759248810025,332.11554731735714,37721
2005-02-25,331.70611572265625,338.48492437450057,328.475961556975,333.0254901103957,245585
2005-02-28,339.9407653808594,342.1245334449697,333.93538237846775,333.93538237846775,76688
2005-03-01,331.7516784667969,343.8989271180376,330.29582355315836,341.2146937532628,235687
2005-03-02,332.52508544921875,339.3948631264329,329.34041515178575,333.9354283308334,91386
2005-03-03,330.8871765136719,336.6650828128673,322.1065927452839,329.3858377790756,123055
2005-03-04,331.61517333984375,336.5741431906125,327.56608150290674,331.2057046307168,72226
2005-03-07,331.3876647949219,334.8452953241743,327.56604977364873,331.20567254891154,140545
2005-03-08,327.7026062011719,333.02556130016836,326.8382122521145,333.02556130016836,88686
2005-03-09,340.4866638183594,349.58571920882207,327.7024743338913,327.7024743338913,228074
2005-03-10,345.67315673828125,347.5839641892803,340.0317582735664,343.94434152761244,234244
2005-03-11,352.7249450683594,357.5929462000242,342.12454903615543,347.12903047152474,259571
2005-03-14,340.80517578125,349.40379592893623,339.4403172034026,349.40379592893623,64613
2005-03-15,337.1200866699219,344.7632895590167,336.6651337864267,341.2146626213784,44823
2005-03-16,334.663330078125,342.943478113497,332.20660116748957,338.9398982913309,63470
2005-03-17,334.936279296875,340.0772407268141,331.34214082943845,332.1155661947482,51833
2005-03-18,339.1218566894531,342.1245343142192,328.1574766283529,333.93538322691074,99808
2005-03-21,328.79449462890625,343.8079416186451,327.5661161397574,343.8079416186451,51924
2005-03-22,331.93359375,334.2993541628037,327.5660574249153,334.2993541628037,46927
2005-03-23,328.5214538574219,334.7543136833293,326.29220147200226,327.7480561987142,35258
2005-03-24,319.9682922363281,329.84077335093775,318.4669535802157,329.38582056010887,33613
2005-03-28,314.9184265136719,325.60982046420804,313.9175245051034,323.0620673725679,23486
2005-03-29,309.86834716796875,320.19578148806875,307.54809894882595,320.19578148806875,45975
2005-03-30,317.0566711425781,319.8318725855031,309.68642898029816,311.18776792103006,69842
2005-03-31,322.7890625,324.836350422833,320.28682170542635,320.28682170542635,30576
2005-04-01,321.8791809082031,323.9264689846511,317.60261248570765,322.4251299488802,134776
2005-04-04,324.0174560546875,345.49123816496734,321.3787348280446,345.49123816496734,53495
2005-04-05,313.8719787597656,326.65614259241664,311.18774586798463,326.65614259241664,65616
2005-04-06,321.3787536621094,323.92647890580486,314.0085108075382,320.28685554731265,48043
2005-04-07,325.5187683105469,331.2056790077961,322.1066218921973,322.1066218921973,186318
2005-04-08,321.3787536621094,330.6597765653909,318.92199678787813,330.6597765653909,182280
2005-04-11,321.4242248535156,323.47151290990746,318.6945074449932,320.28684259996464,14580
2005-04-12,327.7480163574219,331.6151152533498,320.8782122461391,323.01649601280485,88287
2005-04-13,333.4349670410156,336.66512128665335,330.29578115420315,331.20568688741037,54323
2005-04-15,336.8470458984375,339.3492861622835,327.5659981761997,328.4759037266891,255614
2005-04-18,339.1673583984375,345.44570233629383,319.6043853452748,332.1155890420649,106562
2005-04-19,328.15753173828125,343.0344975989143,327.56609850294205,342.1245917697395,26129
2005-04-20,328.2484436035156,331.5695934737397,323.016486428962,327.5660144068347,29561
2005-04-21,331.8426208496094,334.75430243709474,325.74624153486593,325.74624153486593,13123
2005-04-22,328.06658935546875,336.6652119573047,325.92833252105214,333.9354940225157,28181
2005-04-25,322.925537109375,332.11559050998756,322.1066275083167,332.11559050998756,44383
2005-04-26,315.37335205078125,326.47418601675605,313.9174972346197,323.9264609145641,50973
2005-04-27,310.3233642578125,318.1485597488053,309.41345845114176,313.9629874844955,50698
2005-04-28,307.22955322265625,313.9173634764281,305.54622267647966,313.9173634764281,17678
