Price,Close,High,Low,Open,Volume
Ticker,GRASIM.NS,GRASIM.NS,GRASIM.NS,GRASIM.NS,GRASIM.NS
Date,,,,,
2005-01-03,165.941162109375,167.31040821017578,162.8087787183603,167.31040821017578,597629
2005-01-04,167.67308044433594,168.11699026013616,164.4469038140094,166.3100785959169,960726
2005-01-05,162.86505126953125,169.55495678342592,158.80733155748456,167.3104052122703,1354639
2005-01-06,162.05848693847656,163.55902997264496,154.9309168003138,154.9309168003138,1314737
2005-01-07,161.97097778320312,163.79663512866236,161.0581429277148,162.93381879081065,484073
2005-01-10,158.79483032226562,163.80913408278937,157.93201399802385,163.80913408278937,746815
2005-01-11,155.5686798095703,159.79520155462873,155.30607330018964,158.7948435001772,830255
2005-01-12,155.95004272460938,162.55868201094304,155.0559787468835,157.55687983490336,1099757
2005-01-13,160.96437072753906,163.1839193710211,155.68121555118847,156.30644086950784,508985
2005-01-14,156.60655212402344,162.58995422118346,155.18103048310402,162.58995422118346,663998
2005-01-17,156.8628692626953,160.0577724594958,151.62347631951135,159.05741455028752,737937
2005-01-18,161.36451721191406,162.35861828571439,156.31894078425012,156.31894078425012,998437
2005-01-19,160.6017303466797,162.4586477045244,158.8135899957028,161.30823417397067,1081281
2005-01-20,160.25784301757812,160.80803429115502,157.0691844761242,158.44468739109863,1289177
2005-01-24,157.26304626464844,160.30789447963386,156.93167509595656,159.43257651119623,856275
2005-01-25,160.1515655517578,161.18319593572227,156.30643372939545,157.55688430891337,773322
2005-01-27,161.70211791992188,163.6840876623838,159.93898072592046,160.80804160281224,1353699
2005-01-28,164.59693908691406,165.98494384619687,162.82130004288678,163.18393124852722,2740450
2005-01-31,166.27249145507812,167.86055735164675,164.43432066760653,164.43432066760653,2141007
2005-02-01,164.81578063964844,167.86062906905258,164.05925815557435,167.86062906905258,1096212
2005-02-02,166.82899475097656,168.22324403838968,165.684825706117,166.89777176388614,1318327
2005-02-03,168.3295135498047,168.7359062503614,166.56637637624988,167.060304568279,981036
2005-02-04,169.798828125,171.06179284722322,167.3104403984265,168.81098385104912,1327899
2005-02-07,167.7605438232422,170.18642311079643,167.0602970196531,168.18569499315512,861337
2005-02-08,167.6980743408203,169.21737628350922,165.21593120717972,167.93566543621552,1224745
2005-02-09,168.78590393066406,169.56118462446406,167.56045666337903,168.06064174502905,1306804
2005-02-10,168.82350158691406,170.424082247625,167.68558925646803,169.43622551338822,478538
2005-02-11,169.1798095703125,169.4361590837351,168.0606561738614,168.0606561738614,306837
2005-02-14,170.0863800048828,171.24305032690174,168.8171711260893,169.93632447401154,762363
2005-02-15,172.23716735839844,172.5622938885148,170.0613928706402,170.8116582297959,1030446
2005-02-16,170.7554168701172,173.5626864900267,168.82347761992258,171.93710297681696,778720
2005-02-17,169.6300048828125,171.3118637376124,167.56675635167085,171.3118637376124,576184
2005-02-18,169.3798828125,170.6866087158218,168.3357510069586,169.43615827581695,391800
2005-02-21,168.3607635498047,170.49277631982287,167.82306146130088,170.49277631982287,574064
2005-02-22,168.46702575683594,169.0609908737701,166.978996854881,167.81679754954808,391988
2005-02-23,168.98599243164062,169.8112917042665,167.69802501025436,167.69802501025436,305761
2005-02-24,166.63516235351562,170.4365325514595,165.0908452771958,167.93563143085214,605982
2005-02-25,164.83447265625,168.1856754801826,164.43432460604387,168.1856754801826,723316
2005-02-28,168.42330932617188,169.0610361693007,165.18464422600874,166.18500224051786,604077
2005-03-01,166.29751586914062,167.56672477856648,164.57189577074635,167.56046782756084,1008793
2005-03-02,168.44207763671875,169.2236031304705,166.56014466078338,166.56014466078338,859049
2005-03-03,170.08016967773438,170.68664891832694,168.64215875233796,168.64215875233796,652864
2005-03-04,171.59320068359375,171.93707334642457,168.81094698840175,170.10515909634742,826755
2005-03-07,171.19927978515625,172.53726568772953,169.63621676458587,171.06173815327614,637952
2005-03-08,170.38648986816406,171.27430914543777,168.94846698156567,171.27430914543777,390342
2005-03-09,171.84954833984375,174.3129325979675,168.9422543590982,168.9422543590982,1420872
2005-03-10,174.71929931640625,175.56334464327375,170.31770767270478,171.31182089032302,813088
2005-03-11,171.31179809570312,175.56332128294935,170.69907454056474,173.81269845249975,375229
2005-03-14,171.28060913085938,172.17467321806373,169.0610480144903,171.3118691617357,329436
2005-03-15,170.11769104003906,171.68701145115546,168.8109771608299,168.8109771608299,290752
2005-03-16,167.60426330566406,172.31221148077424,166.96027952439124,170.0614029049832,485881
2005-03-17,163.17767333984375,167.5604951158403,162.5774511041223,167.5604951158403,812802
2005-03-18,161.3519744873047,164.2717818601284,159.60135134620242,163.43398108117267,899353
2005-03-21,157.47560119628906,163.0588670761944,156.0688381523697,160.93309867955904,677763
2005-03-22,155.731201171875,158.80730859353457,153.33658203121354,158.80730859353457,987809
2005-03-23,152.88645935058594,158.18212883312614,150.92950469761186,157.9320362137086,704522
2005-03-24,154.03057861328125,156.1813497133876,151.96733062751522,153.9930616411269,456186
2005-03-28,150.82945251464844,156.23766004185254,148.09721719840948,156.23766004185254,840138
2005-03-29,148.95379638671875,150.92950959595987,147.5532900380466,150.67941696842567,627686
2005-03-30,150.61065673828125,151.90486912118544,148.8100021326792,150.0541959886078,394373
2005-03-31,151.86106872558594,154.1806541357544,150.55434277084782,151.05452791273717,690874
2005-04-01,153.74925231933594,154.30570058412337,149.43519548105797,150.67938907008866,684399
2005-04-04,154.3744659423828,155.66867795001352,153.1802909596963,154.43074140598245,307712
2005-04-05,151.6234588623047,155.29353133428643,150.81691814961695,154.8058601556436,234531
2005-04-06,153.55545043945312,154.80590110413468,150.94201052875164,150.94201052875164,303214
2005-04-07,152.46127319335938,154.18064873858955,151.92984040991104,152.05488050824803,440321
2005-04-08,150.21673583984375,153.6804779616195,148.92876829845895,152.55507987497256,379785
2005-04-11,150.0729217529297,152.3049841212221,149.56023505462008,150.05416326371486,318191
2005-04-12,150.06045532226562,151.02955347796302,148.8537660682848,150.5418821063537,218381
2005-04-13,151.16709899902344,156.3064560668851,150.69192919476302,156.3064560668851,596857
2005-04-15,148.084716796875,151.0545431918974,147.36571140250862,149.0600717394581,841888
2005-04-18,146.4591522216797,164.00298006840214,143.55184551209723,155.04349358246424,500877
2005-04-19,147.84713745117188,149.05382659517977,146.9218133200528,148.9287864699125,500411
2005-04-20,149.99163818359375,150.52308335330875,146.30906370379418,148.92876020968026,325385
2005-04-21,151.13583374023438,151.72354211392795,149.06632816184413,151.30464780179102,225970
2005-04-22,150.14170837402344,152.68012658735216,149.17886733496087,149.80409264308494,139809
2005-04-25,151.3671417236328,152.54255826802788,150.05415880724235,151.67975434838928,584686
2005-04-26,152.62384033203125,153.10526700030482,151.3108697508459,152.1799306419392,342585
2005-04-27,152.85519409179688,153.18032066868108,150.55436680287258,150.67940692554603,182770
2005-04-28,152.00486755371094,153.42413207620697,148.55987175168065,150.98575114535,710491
2005-04-29,145.36495971679688,152.68010206631817,143.94569528026014,152.68010206631817,1511771
2005-05-02,142.78280639648438,146.17778409791916,142.05128708188647,145.5525587761588,686752
2005-05-03,142.20761108398438,144.40215683955654,141.4260731858848,142.6765239304289,210125
2005-05-04,141.1196746826172,143.67685087371345,140.74454204605084,143.17040883055782,1016901
2005-05-05,142.47018432617188,143.73939337669307,141.67614500494383,141.67614500494383,629792
2005-05-06,143.7393798828125,145.0461057898345,142.55770643945468,143.67685983373843,1051994
2005-05-09,143.7393798828125,145.4274830353928,143.4017518329868,145.4274830353928,539256
2005-05-10,143.8957061767578,145.5525619716604,143.37051788419043,143.9269785724986,944893
