,Close,return_1d,return_7d,return_30d,MA_50,MA_200,RSI,VIX_lag1,VIX_lag7,CRUDE_lag7,target
2008-10-21,181.55007934570312,0.04596745650925205,0.12823990241319483,0.021215729209903778,177.28876037597655,165.20645538330078,47.858211059282155,57.130001068115234,39.33000183105469,77.69999694824219,0
2008-10-22,182.78314208984372,0.006791860122476789,0.0909093227221669,-0.003755644736200714,177.43019958496095,165.35027961730958,49.87604118624148,56.0,46.4900016784668,81.19000244140625,0
2008-10-23,175.3485565185547,-0.040674350414846794,0.012353617329720734,-0.03876703069240617,177.4265740966797,165.46627296447753,44.22022325490191,54.75,46.4900016784668,78.62999725341797,1
2008-10-24,164.25096130371094,-0.0632887742858006,-0.021179977981814258,-0.09654871713093904,177.2017221069336,165.50192520141601,37.59738137029545,54.970001220703125,46.06999969482422,74.54000091552734,1
2008-10-27,153.51608276367188,-0.0653565644598546,-0.14502109779582362,-0.14259672901218423,176.7476657104492,165.4514708709717,35.378107242401526,45.5,47.810001373291016,69.8499984741211,1
2008-10-29,150.43344116210938,-0.020080251828129447,-0.14137852261422157,-0.16639854594182257,176.22107635498048,165.36744819641115,34.31887683721612,67.5,46.720001220703125,71.8499984741211,1
2008-10-31,160.84188842773438,0.06918971729436607,-0.07333898423391705,-0.08763643993007797,175.96140808105469,165.3375830078125,44.00581778187992,68.3499984741211,57.130001068115234,74.25,1
2008-11-03,172.15708923339844,0.07034983806937789,-0.05173773620015221,-0.013097542463533562,175.90120574951172,165.37345947265624,55.69436314474569,68.3499984741211,56.0,70.88999938964844,1
2008-11-04,179.3378143310547,0.041710307310790506,-0.018849264321627368,0.03821089074031603,175.95705627441407,165.4644522857666,55.93716839013485,67.83999633789062,54.75,66.75,1
2008-11-05,173.24501037597656,-0.03397389433904274,-0.011996369883749414,-0.007685817277186535,175.8954022216797,165.5420785522461,50.018159647869666,62.150001525878906,54.970001220703125,67.83999633789062,1
2008-11-06,177.6695556640625,0.025539236474884763,0.08169568235000879,-0.0010192497498204833,176.02813751220702,165.65821975708008,54.99632508932236,66.75,45.5,64.1500015258789,1
2008-11-07,181.11489868164065,0.019391859256363553,0.17977801036296226,0.0,176.09776977539062,165.79951972961425,50.86243341863468,62.150001525878906,67.5,63.220001220703125,1
2008-11-10,182.4204559326172,0.0072084475682556715,0.2126323410765969,0.017600630693948016,176.21527313232423,165.954750289917,54.13032999046393,67.22000122070312,68.3499984741211,67.5,1
2008-11-11,179.08392333984375,-0.018290342361636736,0.11341594587348713,-0.011213739767300446,176.20874481201173,166.08325119018554,53.094446637228536,63.7599983215332,68.3499984741211,67.80999755859375,1
2008-11-12,170.1261749267578,-0.05001983565038948,-0.011796867126902089,-0.05859888702559124,176.03539184570312,166.1798307800293,43.65688694135977,66.98999786376953,67.83999633789062,63.90999984741211,1
