,Close,return_1d,return_7d,return_30d,MA_50,MA_200,RSI,VIX_lag1,VIX_lag7,CRUDE_lag7,target
2008-10-21,27.068675994873047,0.053033033260312834,0.12806402020626417,-0.30128273108907333,34.98739028930664,39.021805953979495,38.69470014521761,57.130001068115234,39.33000183105469,77.69999694824219,0
2008-10-22,25.477474212646484,-0.05878387929014128,-0.016889511836745252,-0.3558501102828099,34.67699180603027,38.91588224411011,36.1746078726042,56.0,46.4900016784668,81.19000244140625,0
2008-10-23,24.816375732421875,-0.025948352442898504,-0.06702070980246777,-0.3746551837003219,34.37516494750977,38.808755512237546,32.226076554331314,54.75,46.4900016784668,78.62999725341797,0
2008-10-24,21.437917709350582,-0.1361382523982918,-0.15018975413845803,-0.4556610194708103,33.996559104919434,38.691586599349975,28.359732282301024,54.970001220703125,46.06999969482422,74.54000091552734,1
2008-10-27,20.02452850341797,-0.06592940718846663,-0.211773004331689,-0.48547329593555755,33.60682857513428,38.56714728355408,29.31180478599093,45.5,47.810001373291016,69.8499984741211,1
2008-10-29,23.43490028381348,0.17030971689612562,-0.0019415073492318191,-0.3875848868212268,33.28649085998535,38.466180419921876,40.34989682345944,67.5,46.720001220703125,71.8499984741211,0
2008-10-31,24.861967086791992,0.06089493813482072,-0.03281295992528932,-0.32495662783628054,33.00062160491943,38.36920645713806,48.02657337512924,68.3499984741211,57.130001068115234,74.25,0
2008-11-03,25.213029861450195,0.014120474596103216,-0.06855326554480612,-0.2938322117570258,32.71703216552734,38.27335475921631,52.77951445292119,68.3499984741211,56.0,70.88999938964844,0
2008-11-04,23.972900390625,-0.04918605489462846,-0.059055062109518164,-0.3425033150247573,32.407819213867185,38.17270412445068,45.42329204695487,67.83999633789062,54.75,66.75,0
2008-11-05,24.757102966308597,0.0327120441375659,-0.002388453767478982,-0.3167233087393032,32.112101821899415,38.07545446395874,45.6800751081236,62.150001525878906,54.970001220703125,67.83999633789062,0
2008-11-06,23.074710845947266,-0.06795593663163502,0.07635037874423611,-0.3930926364699443,31.805715713500977,37.982317504882815,45.02528916133953,66.75,45.5,64.1500015258789,0
2008-11-07,23.699337005615234,0.02706972858026835,0.1835153572564776,-0.3732817080331836,31.516016540527342,37.89277843475342,46.137964145900185,62.150001525878906,67.5,63.220001220703125,0
2008-11-10,24.56104850769043,0.03636015226379641,0.048054321129532784,-0.30793943346867425,31.241271781921387,37.80926613807678,52.571061876579044,67.22000122070312,68.3499984741211,67.5,0
2008-11-11,22.650693893432617,-0.07777984778050706,-0.08894200469495928,-0.32946426080969393,30.91135940551758,37.713376159667966,42.62114099043198,63.7599983215332,68.3499984741211,67.80999755859375,0
2008-11-12,22.58230781555176,-0.0030191603931694067,-0.10433978226158025,-0.29664855718186844,30.585641822814946,37.62085186958313,38.43984791499424,66.98999786376953,67.83999633789062,63.90999984741211,0
2008-11-14,22.00327491760254,-0.025640997486999995,-0.08216049960282301,-0.2990558685633712,30.270501861572267,37.53214685440064,40.55527964597201,70.62000274658203,62.150001525878906,70.52999877929688,0
2008-11-17,22.99264144897461,0.044964512559018344,-0.07127092050048045,-0.2650832026704548,29.941774826049805,37.45180242538452,45.129058090914285,70.08000183105469,66.75,65.30000305175781,0
2008-11-18,20.97286605834961,-0.08784442601374431,-0.09108867286052313,-0.3233302830600292,29.569643325805664,37.361607780456545,48.66070962653717,85.12999725341797,62.150001525878906,60.77000045776367,1
2008-11-19,20.293529510498047,-0.03239121186210547,-0.14370897777900826,-0.3626860684753792,29.15310401916504,37.27719520568848,50.808888609510426,64.66000366210938,67.22000122070312,61.040000915527344,1
2008-11-20,19.942462921142575,-0.01729943473725759,-0.18804513109860543,-0.35996471588914414,28.73464973449707,37.181599884033204,37.13035790821987,60.84000015258789,63.7599983215332,62.40999984741211,1
2008-11-21,20.9500675201416,0.05052558467744661,-0.07508054196008973,-0.2779697218276813,28.37884052276611,37.1016907787323,35.12478009506394,65.55000305175781,66.98999786376953,59.33000183105469,1
2008-11-24,21.355852127075195,0.019369131223251124,-0.05431046722478661,-0.2403501252885082,28.014915771484375,37.021956825256346,35.39364959123613,64.45999908447266,70.62000274658203,56.15999984741211,1
2008-11-25,20.84520149230957,-0.023911508270757165,-0.05263186637578732,-0.1915121450845415,27.638133659362794,36.939149599075314,37.46342001929323,62.810001373291016,70.08000183105469,57.040000915527344,0
2008-11-26,21.95768165588379,0.053368645248387026,-0.045012653086754284,-0.08493231631140308,27.289619369506838,36.85779022216797,39.06695432056664,59.560001373291016,85.12999725341797,54.95000076293945,0
2008-11-27,21.95768165588379,0.0,0.04695665317245035,-0.15270929325741378,26.950406074523926,36.76860857963562,44.97746637107806,56.209999084472656,64.66000366210938,54.38999938964844,1
2008-11-28,22.126373291015625,0.007682579507961584,0.09031665879360373,-0.16815218022640877,26.627606239318848,36.669215230941774,42.625056026201484,56.209999084472656,60.84000015258789,53.619998931884766,0
2008-12-01,21.310253143310547,-0.03688449692912221,0.06858682538744354,-0.15525044416093015,26.31720775604248,36.569742860794065,34.69299190207845,57.43999862670898,65.55000305175781,49.619998931884766,1
2008-12-02,21.24642944335937,-0.002994976151712736,0.014146108261123391,-0.16367522731137607,26.028055915832514,36.48383248329163,41.995865728138675,55.2599983215332,64.45999908447266,49.93000030517578,0
2008-12-03,20.293529510498047,-0.04484988573734938,-0.04974386459767266,-0.1357279430029784,25.704709129333494,36.3997589969635,38.14919125703135,54.29999923706055,62.810001373291016,54.5,1
2008-12-04,21.214509963989254,0.04538296076169379,0.01771671393130614,-0.1747073340143429,25.40434112548828,36.314977626800534,46.05561549719425,54.65999984741211,59.560001373291016,50.77000045776367,0
2008-12-05,20.72666549682617,-0.022995792407704996,-0.05606312079525744,-0.2342933396242982,25.05847137451172,36.22750839233399,38.07011737241006,51.84000015258789,56.209999084472656,54.43999862670898,0
2008-12-08,21.73883056640625,0.04883395593637929,-0.009966948829449707,-0.1467431039292133,24.736948471069336,36.14487384796143,54.51127363446086,52.04999923706055,56.209999084472656,54.43999862670898,0
2008-12-10,23.82700538635254,0.0960573667275928,0.07685995680220459,-0.0398676404942061,24.503693809509276,36.078625993728636,67.84892648750287,50.27999877929688,57.43999862670898,54.43000030517578,0
2008-12-11,22.76923370361328,-0.04439381557134836,0.068463783629934,0.062100993777115754,24.28347858428955,36.00421814918518,63.327548034467206,50.36000061035156,55.2599983215332,49.27999877929688,0
2008-12-12,21.688676834106445,-0.04745688342315013,0.020815139406179073,0.08310549386490806,24.075117721557618,35.92248586654663,53.45857452184745,51.75,54.29999923706055,46.959999084472656,0
2008-12-15,21.33761405944824,-0.016186454219565105,0.051449135470006624,-0.08949413903902292,23.874051780700682,35.84150773048401,49.91415943757822,49.43000030517578,54.65999984741211,46.790000915527344,0
2008-12-16,21.84369659423828,0.02371785961542172,0.02965831552635656,-0.12140111367765338,23.68520477294922,35.764280786514284,54.701608501027344,48.09999847412109,51.84000015258789,43.66999816894531,0
2008-12-17,22.2403564453125,0.018159007536244776,0.07303108880288156,-0.11790226848867558,23.510127029418946,35.68964755058288,51.427241894499105,44.90999984741211,52.04999923706055,40.810001373291016,0
2008-12-18,22.787477493286133,0.024600372270065174,0.04823842403465761,-0.049448455465257224,23.329030952453614,35.60839033126831,53.97033211372008,44.90999984741211,50.27999877929688,43.709999084472656,0
2008-12-19,22.709962844848636,-0.0034016335709090573,-0.04688136521527431,-0.08268900138460744,23.16006259918213,35.52896111488342,52.81688416259084,45.4900016784668,50.36000061035156,43.52000045776367,0
2008-12-22,22.504796981811523,-0.009034178718775432,-0.011613773447272102,-0.02469863513959647,23.029848594665527,35.442808876037596,56.12723349026653,44.90999984741211,51.75,47.97999954223633,0
2008-12-23,22.153728485107425,-0.015599718450596711,0.02144214027246072,-0.06521737380845705,22.910668029785157,35.352256259918214,54.52064198996975,41.459999084472656,49.43000030517578,46.27999877929688,0
2008-12-24,21.196271896362305,-0.04321875612896309,-0.006624084712196221,-0.13699645641245994,22.818934478759765,35.25899626731873,54.49589686254133,45.70000076293945,48.09999847412109,44.5099983215332,0
2008-12-26,20.667387008666992,-0.024951788233386396,-0.05385121426203865,-0.0875605354121477,22.752368392944337,35.160039768218994,47.16444013187604,41.790000915527344,44.90999984741211,43.59999847412109,0
2008-12-29,20.685630798339844,0.0008827332485330519,-0.06990560833841042,-0.08398951217491302,22.64777763366699,35.06585430145264,49.77644902884074,45.15999984741211,44.90999984741211,40.060001373291016,0
2008-12-30,21.510862350463867,0.03989395151489661,-0.05602266170963388,-0.022379058071248514,22.54601360321045,34.98284863471985,48.73224150597248,43.88999938964844,45.4900016784668,36.220001220703125,0
2008-12-31,21.282899856567383,-0.010597552537988775,-0.06283863157464209,-0.0743603816117211,22.46713737487793,34.89953956604004,32.16110698596049,42.5099983215332,44.90999984741211,33.869998931884766,0
2009-01-02,22.222118377685547,0.04413019501326754,-0.012560815560986316,0.059565169388882344,22.40348934173584,34.81310436248779,46.09884920906924,43.09000015258789,41.459999084472656,39.90999984741211,0
2009-01-05,22.409053802490234,0.00841213342614533,0.011525162347026496,0.10424624710540398,22.38206066131592,34.736692142486575,55.88677124348446,40.66999816894531,45.70000076293945,38.97999954223633,0
2009-01-06,22.130937576293945,-0.012410886628572593,0.0440957581834025,0.10973943708984901,22.310570640563967,34.665355081558225,56.561097250563805,38.59999847412109,41.790000915527344,35.349998474121094,0
2009-01-07,22.308746337890625,0.008034398044985736,0.07941784457490053,0.064853195171938,22.215372047424317,34.599112119674686,54.06697718609615,38.72999954223633,45.15999984741211,37.709999084472656,0
2009-01-09,22.88322257995605,0.025751166531921887,0.10623760053730535,0.07151999572728074,22.163487014770507,34.53721105575561,55.452449782175044,44.36000061035156,43.88999938964844,40.02000045776367,0
2009-01-12,20.73577880859375,-0.09384359059826208,-0.03603219290989523,-0.005249298441955097,22.081875076293944,34.47546962738037,36.31384683502912,47.81999969482422,42.5099983215332,39.02999877929688,0
2009-01-13,21.91208267211914,0.05672822199655614,0.029562833062789062,-0.0020766756927833585,22.091358375549316,34.418049793243405,45.358094070947445,47.81999969482422,43.09000015258789,44.59999847412109,0
2009-01-14,22.23123550415039,0.014565152788390101,0.00041027260812365185,0.012458229996849424,22.135492515563964,34.36909847259521,48.429306700303286,53.470001220703125,40.66999816894531,46.34000015258789,0
2009-01-15,21.45159339904785,-0.03506967055236254,-0.04272649848946253,-0.030496633275267304,22.09582637786865,34.31389782905578,46.15768559950148,53.470001220703125,38.59999847412109,48.810001373291016,0
2009-01-16,21.734272003173828,0.013177510820176375,-0.017923577424257653,0.019897410744573074,22.033272476196288,34.251474390029905,53.17888092554238,45.16999816894531,38.72999954223633,48.58000183105469,0
2009-01-19,21.100528717041016,-0.029158707779136428,-0.054158920566392155,-0.006867070380334295,21.951022453308106,34.17670350074768,52.527978630108564,44.29999923706055,44.36000061035156,42.630001068115234,0
2009-01-20,20.804170608520508,-0.014045056050238536,-0.09085485945745397,0.02516275435272619,21.887647857666014,34.083585510253904,50.6700895875136,44.459999084472656,47.81999969482422,40.83000183105469,0
2009-01-21,20.033647537231445,-0.037036952147156965,-0.03386085846321396,-0.055662960339987744,21.793178749084472,33.98991564750671,41.59753265684202,45.0,47.81999969482422,37.59000015258789,0
2009-01-22,19.878625869750977,-0.00773806503245944,-0.09280070875944291,-0.04091539120004861,21.729257049560548,33.895131549835206,41.945589483725854,45.40999984741211,53.470001220703125,37.77999877929688,0
2009-01-23,19.472848892211918,-0.020412727730668934,-0.12407707216378072,-0.10423659484682812,21.64472728729248,33.78744421958923,33.20334868180788,45.54999923706055,53.470001220703125,37.27999877929688,0
2009-01-27,20.61267852783203,0.05853430291219408,-0.03910734534307625,-0.134902678972893,21.56575988769531,33.69513211250305,40.169640907540426,34.0099983215332,45.16999816894531,35.400001525878906,0
