,Close,return_1d,return_7d,return_30d,MA_50,MA_200,RSI,VIX_lag1,VIX_lag7,CRUDE_lag7,target
2008-10-21,87.7149887084961,0.07236634571169276,0.06705234812272876,-0.14088611665094564,98.39140396118164,98.55574047088624,33.198563024629536,57.130001068115234,39.33000183105469,77.69999694824219,0
2008-10-22,87.42219543457031,-0.0033380073147911693,0.05515739325541413,-0.1416486910268423,98.03310958862305,98.51555610656739,32.339700085695,56.0,46.4900016784668,81.19000244140625,0
2008-10-23,83.01355743408203,-0.05042927575283618,-0.04411952809479147,-0.18186732926816707,97.59088623046875,98.4524026107788,29.12867999012626,54.75,46.4900016784668,78.62999725341797,0
2008-10-24,81.1168441772461,-0.022848234860216032,-0.005151674844047105,-0.20666471519231733,97.0837419128418,98.37860816955566,29.780409835088534,54.970001220703125,46.06999969482422,74.54000091552734,0
2008-10-27,78.60911560058594,-0.030915016506073534,-0.01932164375884693,-0.23600978143190343,96.52423645019532,98.29149654388428,31.168695730146098,45.5,47.810001373291016,69.8499984741211,0
2008-10-29,82.72844696044922,0.05240271854467449,0.020989284181194723,-0.19484554507952012,96.01605728149414,98.1948903274536,41.721508103424526,67.5,46.720001220703125,71.8499984741211,0
2008-10-31,81.6046142578125,-0.013584598090835676,-0.002336507439047897,-0.2033158378450004,95.53538619995118,98.07759815216065,44.67890485094074,68.3499984741211,57.130001068115234,74.25,0
2008-11-03,81.51484680175781,-0.0011000291695649755,-0.07068509040505333,-0.19874884304203122,95.04222732543946,97.97892196655273,48.96739832179334,68.3499984741211,56.0,70.88999938964844,0
2008-11-04,81.56185913085938,0.0005767333307500344,-0.06703487912399786,-0.19908827489722525,94.66372589111329,97.8933801651001,48.0282653612698,67.83999633789062,54.75,66.75,0
2008-11-05,83.41641235351562,0.022737995950788292,0.00485288104600845,-0.15976644032055265,94.29184951782227,97.82344509124756,44.39472599753143,62.150001525878906,54.970001220703125,67.83999633789062,0
2008-11-06,80.63031768798828,-0.0333998380764684,-0.005997847847664217,-0.18082737824039508,93.86773056030273,97.75350978851318,48.38471921842524,66.75,45.5,64.1500015258789,0
2008-11-07,81.48495483398438,0.010599451552494754,0.036584042593871935,-0.16614186820548904,93.45026626586915,97.6981587600708,52.40948434209192,62.150001525878906,67.5,63.220001220703125,0
2008-11-10,81.86099243164062,0.004614810162469674,-0.010485565252098872,-0.17508121422395617,93.0432080078125,97.65032745361329,51.54054022793625,67.22000122070312,68.3499984741211,67.5,0
2008-11-11,81.7755126953125,-0.001044205961703959,0.0020942251740825313,-0.18901559542906132,92.6410595703125,97.60183734893799,49.96165315700153,63.7599983215332,68.3499984741211,67.80999755859375,0
2008-11-12,81.20291900634766,-0.007002018942984467,-0.0038266378168968496,-0.2029118941975777,92.23747329711914,97.57015937805176,34.50629622879748,66.98999786376953,67.83999633789062,63.90999984741211,0
2008-11-14,82.88227081298828,0.020680929050215013,0.016189082693792045,-0.17883430859662086,91.85941162109376,97.54452129364013,39.86704106775831,70.62000274658203,62.150001525878906,70.52999877929688,0
2008-11-17,83.08312225341797,0.002423334187873216,-0.003995497896567279,-0.1725308129544153,91.43470367431641,97.56012157440186,50.191175323580694,70.08000183105469,66.75,65.30000305175781,0
2008-11-18,82.18575286865234,-0.010800862563018376,0.019290946944833687,-0.18422635570552293,91.04406967163087,97.54907680511475,53.10826112730151,85.12999725341797,62.150001525878906,60.77000045776367,0
2008-11-19,80.82687377929688,-0.016534241543387673,-0.008076105043296145,-0.19571598779180732,90.59036087036132,97.52555606842041,56.910716000825424,64.66000366210938,67.22000122070312,61.040000915527344,0
2008-11-20,77.09639739990234,-0.046153911502019085,-0.05820348483701854,-0.21074259878293278,90.06272064208984,97.47042041778565,32.01420339092071,60.84000015258789,63.7599983215332,62.40999984741211,1
2008-11-21,76.80156707763672,-0.003824177681563068,-0.06082438927907685,-0.1772721622281418,89.55676452636719,97.38005794525147,33.804058291960956,65.55000305175781,66.98999786376953,59.33000183105469,0
2008-11-24,76.91266632080078,0.001446575211828005,-0.052833724920793856,-0.1377924568983766,89.05803848266602,97.29839450836181,34.503676933376425,64.45999908447266,70.62000274658203,56.15999984741211,0
2008-11-25,76.4810562133789,-0.005611690870547137,-0.07723261605672915,-0.10539635318180307,88.55831741333007,97.18418689727783,33.323984729054914,62.810001373291016,70.08000183105469,57.040000915527344,0
2008-11-26,76.31868743896484,-0.002122993358787628,-0.08141767703217051,-0.07158359322111918,88.03973373413086,97.04132781982422,23.79304030851833,59.560001373291016,85.12999725341797,54.95000076293945,1
2008-11-27,76.31868743896484,0.0,-0.07138786498755001,-0.07885832774535084,87.50825088500977,96.93051704406739,29.956318682098185,56.209999084472656,64.66000366210938,54.38999938964844,1
2008-11-28,76.02384948730469,-0.003863247148949589,-0.05942360588023188,-0.12460427705824251,86.97375701904296,96.80726879119874,23.218810190499426,56.209999084472656,60.84000015258789,53.619998931884766,1
2008-12-01,74.8102798461914,-0.015963012255988618,-0.029652715701522947,-0.08249781701556369,86.42135620117188,96.66938812255859,18.04808461586866,57.43999862670898,65.55000305175781,49.619998931884766,1
2008-12-02,74.4000473022461,-0.00548363867624535,-0.03126915070577907,-0.07183135778610794,85.87466812133789,96.53309673309326,17.532049236763,55.2599983215332,64.45999908447266,49.93000030517578,1
2008-12-03,73.77189636230469,-0.008442883609866225,-0.04083553605326884,-0.08954756885926018,85.31338073730468,96.42194622039796,17.446709808176024,54.29999923706055,62.810001373291016,54.5,1
2008-12-04,76.56657409667969,0.03788268801780448,0.0011181577181962332,-0.06392945519735327,84.85915924072266,96.30816619873048,24.79559370233133,54.65999984741211,59.560001373291016,50.77000045776367,1
2008-12-05,75.72901916503906,-0.010938910895804899,-0.007726394330318631,-0.13664676607654935,84.40516021728516,96.20212993621826,22.07088463528794,51.84000015258789,56.209999084472656,54.43999862670898,1
2008-12-08,75.28032684326172,-0.005924972048026778,-0.01360558770790632,-0.1388877107346952,83.95635864257812,96.09387111663818,22.849583643301102,52.04999923706055,56.209999084472656,54.43999862670898,1
2008-12-10,74.30604553222656,-0.012942044115505369,-0.022595592918048468,-0.1048926485143078,83.45777526855468,95.98238227844239,23.562170956985454,50.27999877929688,57.43999862670898,54.43000030517578,0
2008-12-11,74.33598327636719,0.0004028978251526816,-0.006339991920887966,-0.0835937463994807,82.92779739379883,95.86853904724121,34.01028643451036,50.36000061035156,55.2599983215332,49.27999877929688,0
2008-12-12,73.4984130859375,-0.011267358734137645,-0.012118731761631252,-0.06501412050755018,82.36027648925781,95.75052886962891,31.99834349384757,51.75,54.29999923706055,46.959999084472656,0
2008-12-15,72.46001434326172,-0.014128179086827952,-0.01778295101159011,-0.12412214896402718,81.79082763671875,95.62869457244874,27.961277088742776,49.43000030517578,54.65999984741211,46.790000915527344,0
2008-12-16,73.75907897949219,0.01792802068843735,-0.036667372810000765,-0.09614082916358146,81.25788314819336,95.52966384887695,37.59279107341701,48.09999847412109,51.84000015258789,43.66999816894531,0
